__time,/pcl_pose/header/stamp/nanosec,/pcl_pose/header/stamp/sec,/pcl_pose/pose/pose/orientation/w,/pcl_pose/pose/pose/orientation/x,/pcl_pose/pose/pose/orientation/y,/pcl_pose/pose/pose/orientation/z,/pcl_pose/pose/pose/position/x,/pcl_pose/pose/pose/position/y,/pcl_pose/pose/pose/position/z
1730697617.70805,313879552,1728187206,0.47599858,0.013940353,0.01844081,0.879142145,-0.780976892,-1.165810108,0.053833663
1730697617.88072,515645696,1728187206,0.503750688,0.012548917,0.01774885,0.863575495,-0.823875368,-1.084491491,0.047117162
1730697617.97433,616557568,1728187206,0.517002347,0.0135851,0.015892349,0.855728529,-0.860574007,-1.056151748,0.043173242
1730697618.11843,717413376,1728187206,0.530577676,0.012159011,0.015794778,0.847401867,-0.877083182,-1.01152885,0.051787686
1730697618.21312,818170112,1728187206,0.543691072,0.011705255,0.015334287,0.839063632,-0.907110751,-0.975479364,0.045722723
1730697618.28713,919009792,1728187206,0.554167994,0.012279718,0.013842359,0.832199105,-0.933775306,-0.939923763,0.055732593
1730697618.60311,221571840,1728187207,0.581473762,0.013265237,0.012708531,0.813357658,-0.984338522,-0.82677418,0.043602269
1730697618.79392,423315712,1728187207,0.605514986,0.01850457,0.008987559,0.795567998,-1.00042522,-0.769582272,0.048413005
1730697618.88428,524190720,1728187207,0.620827114,0.012291041,0.012891686,0.783745149,-1.004124522,-0.716669261,0.029454835
1730697619.02549,625060608,1728187207,0.639444581,0.010658,0.012929134,0.768654572,-1.026136637,-0.701129138,0.066664957
1730697619.09267,725901056,1728187207,0.652285325,0.014037049,0.011467688,0.757756743,-1.04557097,-0.64973563,0.048470888
1730697619.19812,826722816,1728187207,0.66647004,0.009883456,0.01352571,0.745343621,-1.026401162,-0.628513813,0.04787387
1730697619.28916,927581952,1728187207,0.683121412,0.009515889,0.012782499,0.730130959,-1.053916454,-0.575905025,0.052393038
1730697619.3953,28440320,1728187208,0.692825826,0.006879012,0.015366915,0.720908426,-1.06585598,-0.535546482,0.045842491
1730697619.49747,129327360,1728187208,0.698977293,0.007468334,0.014203934,0.714963779,-1.116883755,-0.45371753,0.052798588
1730697619.80067,431893248,1728187208,0.69669095,0.007457315,0.013877236,0.717198397,-1.11785543,-0.444847584,0.05392928
1730697619.9986,633594624,1728187208,0.696809689,0.007539188,0.013490814,0.71708955,-1.12160027,-0.431254655,0.049924124
1730697620.08778,734459136,1728187208,0.69605133,0.00815433,0.012667902,0.717833944,-1.129506588,-0.420854181,0.050127484
1730697620.31134,936315136,1728187208,0.687956418,0.008966703,0.011173383,0.725610598,-1.155253887,-0.386556298,0.04684604
1730697620.4988,137889024,1728187209,0.679815345,0.010564277,0.009735628,0.73324263,-1.153916001,-0.332669407,0.050432932
1730697620.68079,238748160,1728187209,0.680565192,0.005545645,0.013776755,0.732537015,-1.189204693,-0.35925743,0.043003
1730697620.80982,440502528,1728187209,0.673395359,0.007460737,0.012570568,0.739137984,-1.159281969,-0.250137419,0.043442033
1730697621.00886,541405184,1728187209,0.667923983,0.008247758,0.012630436,0.744076587,-1.113838315,-0.212314174,0.049149893
1730697621.03625,642184960,1728187209,0.668768284,0.008392579,0.011587831,0.743333199,-1.163316727,-0.177232355,0.04737743
1730697621.20008,843901696,1728187209,0.667708343,0.008518623,0.011524433,0.744285022,-1.164655924,-0.105944954,0.050974417
1730697621.31448,944806144,1728187209,0.667959935,0.007776494,0.012352922,0.74405405,-1.181176782,-0.050353754,0.042384803
1730697621.40314,45623296,1728187210,0.668093589,0.007735874,0.012363723,0.74393433,-1.181684613,0.003978547,0.04366222
1730697621.50401,146516992,1728187210,0.668497303,0.007750252,0.012683206,0.74356595,-1.198083639,0.054082673,0.03999145
1730697621.7187,348246528,1728187210,0.67370184,0.007602571,0.012723385,0.738854598,-1.226429701,0.162728488,0.040110987
1730697621.80822,449060352,1728187210,0.677163855,0.006872006,0.013941797,0.735668072,-1.248625159,0.212136194,0.060744751
1730697621.93459,549933568,1728187210,0.682651283,0.006270972,0.012629771,0.730608203,-1.255396128,0.271648467,0.034781367
1730697622.11438,751631872,1728187210,0.698623646,0.0042768,0.013365071,0.715351655,-1.307740211,0.367586672,0.04425643
1730697622.21448,852501504,1728187210,0.707418952,0.004536303,0.012617183,0.706667268,-1.318183303,0.444134951,0.055063006
1730697622.3174,953498368,1728187210,0.71371756,0.003826372,0.011219219,0.700333315,-1.295364141,0.535118759,0.026242651
1730697622.41404,54224384,1728187211,0.714937185,0.006110512,0.010527585,0.699082725,-1.211157203,0.608263195,0.038804438
1730697622.61938,255962880,1728187211,0.70535869,0.005523039,0.011846995,0.708730021,-1.16089952,0.790009022,0.012238902
1730697622.71357,356823808,1728187211,0.698377812,0.006538145,0.010924889,0.715616053,-1.165199757,0.858441353,0.030916402
1730697622.91543,558507008,1728187211,0.691846433,0.004369384,0.013313894,0.721908671,-1.252055287,0.972134113,0.04358701
1730697623.12319,760361472,1728187211,0.691206643,0.005681125,0.011914672,0.722536565,-1.281318665,1.122444272,0.022033241
1730697623.21923,861230592,1728187211,0.691564781,0.007484228,0.010631272,0.722197423,-1.27630198,1.186374903,0.030011188
1730697623.31781,961957632,1728187211,0.691123126,0.007224102,0.009981277,0.722632028,-1.270225286,1.247694016,0.016022911
1730697623.41814,62798592,1728187212,0.690709293,0.008588744,0.008998762,0.723025507,-1.286131263,1.3249892,0.024172971
1730697623.52057,163662592,1728187212,0.691939892,0.009442481,0.007798745,0.72185122,-1.301219225,1.386516929,0.022772258
1730697623.62631,264521472,1728187212,0.694601848,0.008336753,0.009013968,0.719289602,-1.307095766,1.459194899,0.03601829
1730697623.72809,365410816,1728187212,0.697257603,0.00673853,0.011383659,0.716698566,-1.314301014,1.532183886,0.044028293
1730697623.92431,567179776,1728187212,0.699355196,-0.00103104,0.020329348,0.714484352,-1.310064077,1.689953327,0.046126921
1730697624.02643,667988992,1728187212,0.700909817,0.002944846,0.015517944,0.713074994,-1.299767733,1.722906709,0.016662881
1730697624.12408,768908800,1728187212,0.700120477,0.007353748,0.014131126,0.713846971,-1.314793706,1.799641132,-0.018278005
1730697624.24305,869717760,1728187212,0.701330556,0.014062421,0.006125858,0.712671132,-1.30219245,1.865668535,0.019988392
1730697624.33084,970573568,1728187212,0.703815326,0.01144437,0.010323125,0.710215756,-1.326790214,1.938729167,0.033911046
1730697624.60843,172289792,1728187213,0.70993232,0.001503246,0.019439513,0.703999957,-1.31648767,2.095497131,0.016325643
1730697624.66097,273184768,1728187213,0.714221888,0.002140533,0.018790631,0.699663812,-1.326436639,2.176311016,-0.009691665
1730697624.73006,374110976,1728187213,0.718012013,0.003873836,0.018102695,0.695784467,-1.320346594,2.238942146,0.01653921
1730697625.05244,676568320,1728187213,0.729047418,0.0065354,0.015639355,0.684253301,-1.314835548,2.413146734,0.004633321
1730697625.14715,777400320,1728187213,0.732668927,0.004993877,0.017359933,0.680345465,-1.321092367,2.482412577,0.011022337
1730697625.3405,979136512,1728187213,0.738006118,0.006780817,0.016372024,0.674561313,-1.309533119,2.594648123,0.020488866
1730697625.45335,79994880,1728187214,0.742553213,0.006342401,0.018186227,0.669510078,-1.299784064,2.653697729,0.009824291
1730697625.55543,180842240,1728187214,0.748089655,0.00682843,0.018110341,0.663315371,-1.294167042,2.717456818,-0.006754906
1730697625.75654,382553600,1728187214,0.76007765,0.00694053,0.01803286,0.649544895,-1.281165481,2.802947998,-0.002812419
1730697625.86773,483411712,1728187214,0.767597982,0.00702194,0.018210556,0.640634363,-1.267617345,2.866394043,-0.00674809
1730697625.94561,584290304,1728187214,0.776469578,0.007486195,0.017012468,0.629880527,-1.256144404,2.915584564,-0.007291757
